parent_experiment_id,model_key,task,text_source,subset_name,control_type,status,n,unstable_small_n,primary_metric,observed_score,random_mean,random_std,random_min,random_max,random_p02_5,random_p50,random_p97_5,observed_minus_random_mean,observed_percentile,empirical_p_greater_equal,n_draws_requested,n_draws_successful
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,uncertainty_low_medium,random_same_n,ok,208,False,jaccard,0.2003205128205128,0.18954246794871796,0.012709735221728063,0.15144230769230768,0.22275641025641024,0.1630608974358974,0.18990384615384615,0.2131410256410256,0.010778044871794845,80.80000000000001,0.20279720279720279,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,relevance_medium_high_and_spatial_250m_ge_0.8,random_same_n,ok,92,False,jaccard,0.2907608695652174,0.19008333333333333,0.03111428332557419,0.09782608695652174,0.31431159420289856,0.13134057971014493,0.18931159420289853,0.25362318840579706,0.10067753623188408,99.9,0.001998001998001998,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,relevance_high_and_spatial_250m_ge_0.8,random_same_n,ok,32,False,jaccard,0.4140625,0.19076041666666665,0.06131960950257765,0.03125,0.3880208333333333,0.078125,0.19010416666666666,0.3203125,0.22330208333333335,100.0,0.000999000999000999,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,evidence_sentences_count_ge_1_and_spatial_250m_ge_0.8,random_same_n,ok,123,False,jaccard,0.24593495934959347,0.19160636856368563,0.024147288880263348,0.10569105691056911,0.2615176151761518,0.14292005420054202,0.19241192411924118,0.23985433604336043,0.05432859078590785,98.7,0.014985014985014986,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,quality_high_or_very_high,random_same_n,ok,174,False,jaccard,0.22222222222222215,0.1888486590038314,0.016956459010652684,0.1403256704980843,0.24090038314176243,0.1556513409961686,0.18869731800766285,0.22031848659003828,0.033373563218390745,98.0,0.02097902097902098,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,quality_very_high,random_same_n,ok,104,False,jaccard,0.24198717948717946,0.1908269230769231,0.029264493415545528,0.11057692307692307,0.29166666666666663,0.13219150641025643,0.19150641025641024,0.24683493589743585,0.05116025641025637,96.39999999999999,0.03696303696303696,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,quality_high_or_very_high_and_spatial_250m_ge_0.8,random_same_n,ok,110,False,jaccard,0.25681818181818183,0.19121893939393936,0.028976710422351712,0.10378787878787878,0.29318181818181815,0.1371022727272727,0.19015151515151513,0.24852272727272726,0.06559924242424248,98.3,0.017982017982017984,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,recommended_use_training,random_same_n,ok,67,False,jaccard,0.24751243781094526,0.19095273631840798,0.03855912617630117,0.04228855721393034,0.30472636815920395,0.11688432835820896,0.19029850746268656,0.26741293532338306,0.05655970149253728,93.2,0.07092907092907093,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,recommended_use_evaluation_only,random_same_n,ok,25,True,jaccard,0.4066666666666666,0.18836666666666668,0.07148985164964947,0.0,0.46,0.06,0.18,0.33333333333333326,0.21829999999999994,99.7,0.003996003996003996,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,recommended_use_exclude,random_same_n,ok,69,False,jaccard,0.15217391304347827,0.18980676328502416,0.03745757711486195,0.06642512077294685,0.31159420289855067,0.11835748792270531,0.18840579710144928,0.2657004830917874,-0.03763285024154589,15.4,0.8521478521478522,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,article_type_agriculture_or_vineyard,random_same_n,skipped_below_min_subset_size,2,True,jaccard,0.0,,,,,,,,,,,1000,0
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,article_type_natural_landscape,random_same_n,ok,37,False,jaccard,0.10810810810810811,0.18893693693693694,0.05728684320178279,0.04279279279279279,0.36936936936936937,0.09003378378378378,0.18693693693693691,0.3063063063063063,-0.08082882882882883,7.3,0.945054945054945,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,article_type_water_feature,random_same_n,ok,12,True,jaccard,0.8333333333333334,0.19457638888888887,0.10285203750262488,0.0,0.5416666666666666,0.0,0.1875,0.4166666666666667,0.6387569444444445,100.0,0.000999000999000999,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,article_type_settlement_or_administrative,random_same_n,ok,34,False,jaccard,0.1323529411764706,0.19187254901960785,0.05991478313392605,0.04411764705882353,0.43137254901960775,0.08088235294117647,0.19117647058823528,0.3137867647058823,-0.05951960784313726,16.7,0.8501498501498501,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,article_type_built_or_cultural_site,random_same_n,ok,44,False,jaccard,0.125,0.1884204545454545,0.04957383393388592,0.05113636363636364,0.3882575757575758,0.09848484848484848,0.1875,0.29166666666666663,-0.0634204545454545,10.8,0.9040959040959041,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,article_type_other_or_unclear,random_same_n,ok,143,False,jaccard,0.196969696969697,0.19043298368298367,0.021358456082759193,0.13228438228438227,0.2505827505827506,0.1486013986013986,0.19026806526806528,0.23136655011655013,0.006536713286713319,59.3,0.4205794205794206,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,article_type_high_prior,random_same_n,ok,51,False,jaccard,0.27450980392156865,0.1880441176470588,0.04821397093980584,0.04411764705882353,0.3627450980392157,0.09803921568627451,0.1895424836601307,0.2811274509803921,0.08646568627450985,96.6,0.03996003996003996,1000,1000
article_text_classification_e2e_with_shuffled_control_v1,qwen,osm,content,article_type_high_prior_and_relevance_medium_high,random_same_n,ok,40,False,jaccard,0.32500000000000007,0.18870625,0.05428231880224546,0.025,0.4104166666666666,0.0875,0.18333333333333335,0.29583333333333334,0.13629375000000007,99.0,0.01098901098901099,1000,1000
